"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2020年06月22日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A110101","","A110102","","A1301","","A130101","","A130102","","A1302","","A130201","","A130202","","A1303","","A130301","","A130302",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A110101_総人口（男）【人】","注釈","A110102_総人口（女）【人】","注釈","A1301_15歳未満人口【人】","注釈","A130101_15歳未満人口（男）【人】","注釈","A130102_15歳未満人口（女）【人】","注釈","A1302_15～64歳人口【人】","注釈","A130201_15～64歳人口（男）【人】","注釈","A130202_15～64歳人口（女）【人】","注釈","A1303_65歳以上人口【人】","注釈","A130301_65歳以上人口（男）【人】","注釈","A130302_65歳以上人口（女）【人】","注釈"
"2015100000","2015年度","01549","北海道 訓子府町","","5,100","","2,412","","2,688","","616","","296","","320","","2,654","","1,321","","1,333","","1,830","","795","","1,035",""
"2015100000","2015年度","01550","北海道 置戸町","","3,092","","1,424","","1,668","","287","","141","","146","","1,496","","729","","767","","1,305","","550","","755",""
"2015100000","2015年度","01552","北海道 佐呂間町","","5,362","","2,498","","2,864","","601","","292","","309","","2,755","","1,343","","1,412","","2,006","","863","","1,143",""
"2015100000","2015年度","01555","北海道 遠軽町","","20,873","","10,081","","10,792","","2,413","","1,239","","1,174","","11,111","","5,728","","5,383","","7,334","","3,105","","4,229",""
"2015100000","2015年度","01559","北海道 湧別町","","9,231","","4,378","","4,853","","965","","491","","474","","4,961","","2,501","","2,460","","3,305","","1,386","","1,919",""
"2015100000","2015年度","01560","北海道 滝上町","","2,721","","1,292","","1,429","","239","","127","","112","","1,362","","702","","660","","1,120","","463","","657",""
"2015100000","2015年度","01561","北海道 興部町","","3,909","","1,895","","2,014","","464","","254","","210","","2,218","","1,131","","1,087","","1,227","","510","","717",""
"2015100000","2015年度","01562","北海道 西興部村","","1,116","","542","","574","","119","","61","","58","","630","","345","","285","","367","","136","","231",""
"2015100000","2015年度","01563","北海道 雄武町","","4,525","","2,136","","2,389","","499","","258","","241","","2,588","","1,303","","1,285","","1,438","","575","","863",""
"2015100000","2015年度","01564","北海道 大空町","","7,360","","3,552","","3,808","","926","","476","","450","","3,969","","2,027","","1,942","","2,464","","1,048","","1,416",""
